ocid,titre,organisme,nb_signaux,signaux,montant,url_seao
ocds-ec9k95-1512345,Services professionnels Génie mécanique et électrique - Infrastructure culturelle - Gaspésie,Société québécoise des infrastructures,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",258580.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=c86b4c1e-6e7a-484a-8de2-ba0a1a0af93b
ocds-ec9k95-1431445,Restauration général des lieux Phase I suite à l'incendie de la bibliothèque,Cégep de Drummondville.,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",250000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=260519f0-0123-4256-a0ee-a5c7ccdab850
ocds-ec9k95-1491838,Services professionnels - Laboratoire de surveillance et de contrôle des matériaux - Pavillon F,École de technologie supérieure,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",248989.35,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=8af92a57-423d-481c-92c5-8f646ebe90fe
ocds-ec9k95-1564457,Cabine de presse pour gradins 2022,Cégep Vanier College.,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",247500.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=26cdedf1-f6d3-486e-bc3e-dfc6d0f7c99e
ocds-ec9k95-1715330,Remplacement laveur decontaminateur ,Centre intégré de santé et de services sociaux (CISSS) des Laurentides,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",237700.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=9297e6b5-4fcb-4806-8192-bf8dc3044d7a
ocds-ec9k95-1232344,8801-18-HE04 - Mandat relatif au contrat à exécution sur demande no 8801-17-GE01 surveillance des travaux de reconstruction du pont P18279 situé sur l'autoroute 15 (Sainte-Adèle).,Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",235991.84,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=e6db590e-338b-4707-9703-897b0ca716bf
ocds-ec9k95-1455531,Travaux de rénovation extérieure et intérieure au centre administratif à Chibougamau,Centre de services scolaire de la Baie-James,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",228937.39,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=32e8b987-45f8-4b96-91fd-9f3afcb96acb
ocds-ec9k95-1306250,Service juridique en expropriation - Agrandissement et modernisation Hôpital Verdun,SQI-Direction Gestion de projets Ouest du Québec,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",225000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=e8446383-7f8d-4fa7-b88b-316554d62d88
ocds-ec9k95-1723002,Remplacement des thermostats - École Paul-Arseneau,Centre de services scolaire des Affluents,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",220830.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=c44616a2-a782-4d9b-91cf-24b602cf6855
ocds-ec9k95-707547,Contrat de services professionnels,Société québécoise des infrastructures,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",220000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=f3856c0a-cffd-4806-bf45-eaa971a913aa
ocds-ec9k95-1636640,ENTENTE DE SERVICE LOBIBEC ET LOGICIEL MED ECHO PLUS RENOUV. 2022-2025,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",212253.52,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=ecaa51fe-a7dd-41d4-8b3c-799413e1164f
